Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident
Clear,Highway,Evening,1,50,1,0,Low,Icy,Car,68,49,Daylight,1
Clear,City Road,Morning,0,100,3,0,Low,Dry,Car,21,57,Artificial Light,0
Rainy,Rural Road,Morning,0,100,1,0,Low,Dry,Truck,48,10,Daylight,0
Rainy,Highway,Afternoon,0,30,2,0,Low,Dry,Truck,19,62,No Light,0
Stormy,Highway,Night,1,100,2,0,Moderate,Icy,Car,65,25,Daylight,0
Clear,Highway,Evening,0,50,1,0,Low,Icy,Car,20,46,Daylight,0
Rainy,City Road,Morning,0,50,2,0,Low,Dry,Truck,63,44,No Light,0
Foggy,Rural Road,Evening,2,60,5,0,High,Icy,Car,56,65,Artificial Light,0
Clear,Highway,Afternoon,1,60,1,0,Low,Dry,Truck,52,55,Artificial Light,0
Rainy,City Road,Morning,2,100,4,0,Low,Dry,Car,55,40,Daylight,0
Clear,City Road,Afternoon,0,80,5,0,Low,Dry,Car,42,41,No Light,0
Rainy,Rural Road,Afternoon,0,100,3,1,Low,Dry,Bus,34,44,Daylight,1
Clear,Rural Road,Evening,0,206,4,1,High,Dry,Car,27,21,Artificial Light,1
Clear,Highway,Evening,2,30,5,0,Moderate,Dry,Car,26,51,Artificial Light,0
Rainy,Rural Road,Afternoon,2,60,11,0,Low,Dry,Car,50,53,Daylight,1
Rainy,Highway,Morning,2,60,5,0,Moderate,Dry,Car,52,25,Daylight,0
Stormy,Highway,Night,0,60,3,0,Low,Dry,Car,35,17,Artificial Light,0
Clear,City Road,Afternoon,2,100,2,0,Low,Dry,Motorcycle,68,65,Artificial Light,1
Rainy,Highway,Night,1,60,1,0,Low,Dry,Car,27,63,Artificial Light,0
Rainy,Highway,Morning,0,30,1,0,Low,Dry,Truck,45,54,Daylight,1
Foggy,Highway,Afternoon,2,100,2,0,Low,Under Construction,Car,69,46,Artificial Light,0
Stormy,City Road,Morning,1,100,1,0,Low,Wet,Car,33,39,Artificial Light,0
Rainy,Mountain Road,Evening,0,50,5,1,Low,Wet,Car,21,28,Artificial Light,0
Clear,Rural Road,Afternoon,1,100,5,0,Moderate,Dry,Bus,29,34,Artificial Light,0
Rainy,City Road,Afternoon,1,100,3,1,Moderate,Icy,Motorcycle,62,44,Artificial Light,0
Snowy,Highway,Evening,2,50,1,0,Moderate,Icy,Car,68,39,Artificial Light,0
Clear,Highway,Morning,0,80,4,1,Low,Under Construction,Car,24,59,No Light,0
Stormy,Highway,Afternoon,1,50,4,1,Moderate,Dry,Car,34,45,No Light,0
Clear,Rural Road,Afternoon,0,30,2,0,Low,Dry,Car,18,57,Artificial Light,0
Clear,Highway,Afternoon,2,100,3,0,Low,Wet,Car,26,67,Daylight,1
Foggy,Highway,Morning,1,50,4,0,Low,Dry,Car,54,34,Daylight,0
Stormy,Highway,Afternoon,0,80,5,1,High,Dry,Car,40,61,Artificial Light,1
Rainy,Highway,Evening,2,50,4,0,High,Icy,Car,27,10,Daylight,1
Rainy,City Road,Morning,2,80,1,1,High,Icy,Car,62,56,Artificial Light,0
Clear,Rural Road,Night,2,100,1,0,Low,Wet,Car,56,52,Daylight,1
Foggy,Highway,Evening,2,199,4,0,Low,Dry,Car,21,51,Daylight,0
Clear,City Road,Afternoon,1,80,1,0,Low,Dry,Car,33,22,No Light,1
Clear,Rural Road,Morning,1,60,2,0,High,Dry,Truck,52,42,Daylight,0
Stormy,Highway,Morning,1,50,1,0,High,Dry,Car,22,41,Artificial Light,0
Rainy,City Road,Evening,1,100,2,1,Low,Under Construction,Car,48,38,Daylight,0
Rainy,City Road,Afternoon,0,80,1,0,Moderate,Dry,Car,24,36,No Light,1
Clear,Rural Road,Morning,1,60,4,0,Low,Dry,Car,33,39,Artificial Light,0
Clear,Highway,Evening,1,50,3,0,Low,Wet,Car,63,24,Artificial Light,0
Rainy,Highway,Morning,1,60,3,0,Moderate,Dry,Car,43,18,Artificial Light,0
Rainy,City Road,Night,1,60,3,0,Low,Icy,Truck,69,32,Daylight,0
Rainy,Highway,Afternoon,1,30,3,0,Low,Dry,Car,67,23,Artificial Light,1
Clear,Highway,Afternoon,2,80,14,0,Low,Wet,Car,38,38,Artificial Light,0
Clear,Highway,Night,1,100,2,0,Moderate,Icy,Car,27,18,Artificial Light,0
Clear,City Road,Evening,1,60,5,0,Low,Dry,Motorcycle,30,36,Artificial Light,0
Snowy,Rural Road,Afternoon,2,50,2,0,Low,Dry,Car,55,35,No Light,0
Rainy,Highway,Morning,1,80,2,0,Moderate,Dry,Car,28,33,No Light,0
Clear,City Road,Morning,1,30,1,0,Low,Dry,Car,63,62,Artificial Light,0
Stormy,Rural Road,Morning,0,100,2,0,High,Dry,Truck,24,46,Artificial Light,0
Clear,Rural Road,Evening,0,100,2,0,Low,Icy,Car,49,49,Artificial Light,0
Snowy,Highway,Night,2,60,1,0,Low,Dry,Car,24,53,Artificial Light,0
Clear,Highway,Morning,1,100,3,0,Low,Icy,Car,42,48,Daylight,0
Clear,City Road,Night,1,50,1,0,Moderate,Wet,Car,22,64,Daylight,1
Clear,Rural Road,Morning,1,100,5,0,High,Under Construction,Car,45,44,No Light,0
Rainy,Highway,Night,0,120,1,0,Moderate,Dry,Car,20,35,Artificial Light,1
Rainy,Highway,Afternoon,1,60,4,0,Moderate,Icy,Motorcycle,54,64,Artificial Light,1
Snowy,City Road,Morning,1,30,4,0,Low,Wet,Car,62,55,Daylight,0
Foggy,Rural Road,Morning,0,30,3,0,Low,Dry,Truck,53,27,Daylight,0
Rainy,City Road,Afternoon,0,50,1,0,Moderate,Dry,Motorcycle,54,61,Daylight,1
Stormy,City Road,Evening,1,60,1,0,Moderate,Dry,Car,68,22,Daylight,1
Foggy,City Road,Evening,1,100,3,0,Low,Icy,Car,29,30,Artificial Light,0
Clear,Rural Road,Morning,2,100,3,0,Moderate,Dry,Car,39,43,Artificial Light,0
Rainy,Highway,Evening,0,100,1,0,Moderate,Dry,Car,21,27,Artificial Light,1
Clear,City Road,Morning,0,194,3,0,Moderate,Dry,Bus,48,57,Artificial Light,0
Foggy,Highway,Evening,1,50,3,0,Low,Icy,Car,40,22,Artificial Light,0
Stormy,Rural Road,Evening,0,60,3,0,Moderate,Dry,Motorcycle,34,57,No Light,0
Clear,Highway,Afternoon,1,60,5,0,Moderate,Dry,Car,54,40,Daylight,0
Snowy,Highway,Night,1,100,1,0,Low,Dry,Car,51,25,No Light,0
Rainy,City Road,Morning,1,80,2,0,Moderate,Icy,Car,26,24,Artificial Light,1
Clear,Rural Road,Afternoon,2,60,5,0,Moderate,Dry,Car,18,14,Artificial Light,0
Rainy,Highway,Evening,1,100,2,0,Moderate,Wet,Car,68,24,Daylight,0
Clear,City Road,Evening,1,80,3,0,Low,Dry,Car,54,61,Artificial Light,0
Clear,Highway,Afternoon,0,206,5,0,Low,Icy,Car,55,29,Daylight,1
Rainy,Rural Road,Night,0,50,5,0,Low,Dry,Car,52,20,Artificial Light,0
Foggy,Highway,Evening,2,60,4,1,Low,Dry,Car,34,64,Artificial Light,0
Clear,Highway,Evening,0,80,3,0,Moderate,Dry,Motorcycle,68,43,Artificial Light,0
Clear,Highway,Morning,1,60,3,0,Moderate,Icy,Car,52,54,No Light,1
Snowy,City Road,Afternoon,0,30,5,0,Moderate,Dry,Car,68,54,Artificial Light,1
Snowy,Rural Road,Evening,2,100,2,1,Moderate,Dry,Truck,30,21,Daylight,1
Clear,Highway,Afternoon,2,80,4,0,Low,Icy,Car,20,48,Artificial Light,1
Clear,City Road,Morning,0,60,1,1,Low,Dry,Car,68,33,Artificial Light,1
Clear,Highway,Afternoon,2,60,3,0,Moderate,Under Construction,Car,68,62,Daylight,1
Rainy,City Road,Afternoon,2,50,2,0,Moderate,Icy,Motorcycle,36,40,Daylight,0
Clear,City Road,Morning,1,60,1,0,Low,Dry,Car,28,14,No Light,0
Clear,City Road,Evening,2,100,5,1,Low,Wet,Car,59,67,Artificial Light,0
Snowy,City Road,Morning,0,60,5,1,High,Under Construction,Car,40,57,Daylight,0
Rainy,City Road,Morning,1,60,14,0,Moderate,Dry,Car,50,12,Daylight,1
Foggy,Highway,Afternoon,1,120,1,0,Moderate,Under Construction,Car,24,67,No Light,1
Clear,Highway,Evening,0,100,3,0,Low,Icy,Car,43,40,Artificial Light,1
Rainy,Highway,Morning,1,60,4,0,Low,Dry,Car,18,57,Artificial Light,0
Rainy,Rural Road,Afternoon,0,30,3,1,Low,Dry,Car,25,40,Artificial Light,0
Rainy,Highway,Evening,0,50,3,0,Moderate,Dry,Car,53,40,Artificial Light,1
Stormy,Highway,Evening,0,30,1,0,High,Wet,Car,67,58,Daylight,0
Clear,City Road,Evening,0,60,2,0,Moderate,Dry,Car,68,51,Daylight,0
Clear,City Road,Morning,1,60,3,0,Low,Wet,Truck,33,52,Daylight,0
Clear,Highway,Night,2,50,5,0,Moderate,Wet,Car,22,62,No Light,0
Clear,Rural Road,Afternoon,0,50,5,0,Moderate,Dry,Truck,24,58,Daylight,1
Clear,Highway,Night,0,60,5,0,Low,Dry,Car,68,45,Artificial Light,0
Clear,Highway,Morning,2,50,4,0,Moderate,Icy,Car,22,63,Artificial Light,1
Clear,Highway,Night,0,100,2,0,Low,Icy,Car,49,40,Artificial Light,0
Snowy,Highway,Afternoon,1,80,4,0,Low,Dry,Car,68,27,Artificial Light,0
Stormy,City Road,Morning,0,50,4,0,Low,Dry,Motorcycle,68,30,No Light,1
Rainy,Highway,Evening,0,100,4,0,Low,Icy,Car,59,44,Artificial Light,0
Clear,Highway,Afternoon,1,60,4,0,Low,Under Construction,Car,47,53,Artificial Light,1
Clear,Highway,Afternoon,1,50,1,0,High,Icy,Car,59,25,Daylight,1
Clear,Highway,Morning,1,60,3,0,Low,Icy,Car,50,29,Artificial Light,0
Stormy,Highway,Evening,0,80,11,0,Low,Wet,Car,44,57,Artificial Light,0
Snowy,Rural Road,Afternoon,1,100,3,1,Low,Dry,Car,43,51,Artificial Light,0
Rainy,City Road,Afternoon,1,80,4,0,Low,Wet,Motorcycle,33,13,Artificial Light,0
Foggy,City Road,Evening,2,50,5,0,Low,Dry,Car,52,62,Daylight,1
Clear,Mountain Road,Night,2,100,3,0,Moderate,Dry,Car,20,34,Artificial Light,1
Rainy,City Road,Morning,1,100,4,0,Moderate,Wet,Car,37,64,Daylight,0
Clear,Highway,Evening,1,60,5,0,Moderate,Dry,Car,41,26,Artificial Light,0
Clear,Highway,Night,0,50,2,0,Low,Dry,Car,22,34,Artificial Light,0
Rainy,Rural Road,Evening,1,100,4,0,Low,Dry,Car,28,62,Daylight,0
Snowy,Mountain Road,Evening,0,100,10,0,Moderate,Icy,Car,25,33,Artificial Light,0
Foggy,Highway,Evening,1,50,3,0,Moderate,Wet,Car,69,41,Daylight,0
Clear,City Road,Evening,2,30,4,0,Moderate,Dry,Car,20,30,Daylight,0
Clear,Highway,Afternoon,1,206,3,0,Low,Wet,Car,52,57,Artificial Light,1
Rainy,Rural Road,Afternoon,1,60,3,0,Low,Wet,Car,20,50,Daylight,0
Rainy,City Road,Afternoon,0,100,4,1,Moderate,Dry,Car,54,30,Artificial Light,0
Clear,Highway,Afternoon,2,80,5,0,Low,Dry,Car,44,48,Daylight,0
Clear,Rural Road,Evening,1,60,11,0,Low,Under Construction,Car,45,37,Daylight,0
Clear,Highway,Afternoon,1,60,2,0,Low,Dry,Car,51,45,Artificial Light,0
Clear,Highway,Afternoon,0,100,2,0,Moderate,Under Construction,Car,42,31,Daylight,0
Snowy,Highway,Afternoon,1,50,5,0,Low,Icy,Car,27,15,Artificial Light,1
Snowy,City Road,Afternoon,1,30,1,0,Moderate,Dry,Car,60,33,Daylight,0
Rainy,Highway,Morning,0,100,3,0,High,Wet,Car,45,56,No Light,1
Stormy,Highway,Afternoon,1,50,5,0,Low,Icy,Motorcycle,62,42,Daylight,0
Clear,Highway,Afternoon,2,60,2,0,Low,Dry,Car,59,23,Artificial Light,0
Snowy,Mountain Road,Morning,0,120,2,0,Moderate,Dry,Motorcycle,61,54,Artificial Light,1
Foggy,Rural Road,Afternoon,2,50,4,0,Low,Icy,Motorcycle,32,44,Daylight,0
Foggy,City Road,Morning,1,60,1,1,High,Dry,Car,23,59,Daylight,1
Rainy,Highway,Morning,1,80,4,0,Low,Dry,Car,59,22,Daylight,0
Rainy,Mountain Road,Afternoon,1,100,4,0,Low,Icy,Motorcycle,34,35,Daylight,0
Foggy,Highway,Morning,2,30,4,0,Low,Wet,Car,46,61,Daylight,1
Clear,City Road,Afternoon,0,50,2,1,Low,Under Construction,Truck,49,60,Artificial Light,0
Rainy,Highway,Afternoon,0,100,3,0,High,Wet,Car,60,46,Daylight,1
Clear,Highway,Night,1,80,5,0,Low,Dry,Truck,25,30,Daylight,0
Clear,Highway,Afternoon,2,80,4,0,Low,Dry,Car,48,52,No Light,0
Clear,City Road,Evening,0,189,2,0,Low,Dry,Car,19,61,Daylight,0
Clear,City Road,Afternoon,0,50,12,1,Low,Wet,Bus,60,52,Daylight,0
Snowy,Highway,Evening,1,50,4,1,High,Wet,Car,54,22,Daylight,0
Rainy,Highway,Morning,1,80,4,0,Moderate,Under Construction,Car,33,17,Daylight,0
Clear,City Road,Evening,2,100,1,0,Low,Dry,Car,50,54,Artificial Light,0
Clear,Highway,Morning,1,100,5,0,Low,Dry,Car,19,31,No Light,0
Clear,Highway,Morning,2,120,5,0,Low,Icy,Car,60,66,Artificial Light,0
Clear,Highway,Evening,1,80,12,0,Low,Icy,Car,23,15,No Light,0
Rainy,City Road,Morning,0,50,4,0,Moderate,Wet,Car,23,40,No Light,0
Clear,Highway,Morning,0,120,5,0,Low,Wet,Motorcycle,46,34,Artificial Light,1
Foggy,City Road,Afternoon,1,80,1,0,Moderate,Dry,Car,18,35,No Light,0
Foggy,Rural Road,Afternoon,1,30,1,0,Low,Under Construction,Truck,58,34,No Light,0
Foggy,Highway,Afternoon,0,50,3,0,Low,Icy,Truck,52,44,Artificial Light,0
Clear,Rural Road,Morning,1,100,5,1,Low,Icy,Car,28,40,Artificial Light,0
Snowy,Mountain Road,Afternoon,1,50,4,1,Low,Dry,Motorcycle,45,57,Artificial Light,0
Rainy,City Road,Afternoon,1,100,2,1,Low,Dry,Truck,59,34,Daylight,1
Rainy,Highway,Morning,0,60,3,1,Low,Dry,Car,26,37,Daylight,0
Clear,Highway,Morning,1,80,2,0,Low,Dry,Car,67,23,No Light,1
Clear,Highway,Afternoon,1,80,1,0,Low,Dry,Car,65,36,Artificial Light,1
Clear,Highway,Evening,1,100,1,1,Low,Dry,Car,67,59,Artificial Light,0
Clear,Highway,Afternoon,0,60,2,1,Low,Dry,Car,59,36,Artificial Light,0
Rainy,Highway,Afternoon,2,80,3,0,Low,Dry,Car,52,34,Artificial Light,0
Stormy,Highway,Afternoon,0,30,2,1,Moderate,Dry,Car,69,22,Artificial Light,0
Rainy,Highway,Evening,2,80,2,0,Low,Dry,Car,38,62,Artificial Light,0
Snowy,City Road,Morning,1,30,2,0,Moderate,Wet,Car,47,48,Artificial Light,0
Rainy,Highway,Evening,2,100,5,1,Low,Dry,Car,65,18,No Light,0
Foggy,Highway,Evening,0,60,3,0,Low,Dry,Motorcycle,42,17,Daylight,0
Foggy,Highway,Morning,0,30,3,0,High,Dry,Car,46,51,Daylight,1
Foggy,Highway,Night,2,100,3,1,Moderate,Dry,Truck,38,20,Daylight,1
Clear,Highway,Afternoon,1,50,1,0,Low,Icy,Car,21,41,Daylight,0
Foggy,Highway,Afternoon,2,100,3,0,Moderate,Wet,Car,56,26,Artificial Light,0
Clear,Rural Road,Afternoon,0,50,11,0,Low,Dry,Car,44,55,Artificial Light,0
Rainy,Mountain Road,Afternoon,2,80,1,0,Moderate,Dry,Car,27,19,Daylight,1
Snowy,Rural Road,Morning,0,100,1,1,Low,Dry,Car,51,54,Daylight,1
Clear,Rural Road,Morning,0,100,5,0,Moderate,Under Construction,Car,61,25,Daylight,0
Clear,Rural Road,Afternoon,2,60,2,0,Low,Wet,Car,52,30,Daylight,0
Clear,Mountain Road,Morning,1,188,5,0,Low,Dry,Car,36,41,Artificial Light,1
Rainy,Highway,Morning,2,100,1,0,Low,Dry,Car,35,18,No Light,0
Clear,Highway,Night,1,50,1,0,Low,Dry,Car,67,61,No Light,0
Foggy,Highway,Evening,2,60,5,0,Moderate,Dry,Car,24,44,Artificial Light,0
Rainy,Highway,Morning,1,30,3,1,High,Dry,Motorcycle,26,24,Daylight,1
Clear,Highway,Morning,0,60,5,0,Low,Dry,Car,45,42,Artificial Light,1
Clear,Rural Road,Evening,0,30,5,0,Moderate,Dry,Bus,37,39,Daylight,1
Clear,Highway,Afternoon,1,60,5,0,Low,Wet,Car,19,40,No Light,1
Clear,City Road,Morning,1,30,3,0,High,Dry,Motorcycle,46,37,Artificial Light,0
Snowy,Highway,Evening,1,100,2,1,Moderate,Dry,Car,52,22,Artificial Light,1
Clear,Highway,Evening,2,193,4,1,Low,Dry,Car,67,39,Daylight,0
Clear,Rural Road,Night,2,50,5,1,Low,Icy,Car,19,47,Artificial Light,0
Rainy,Highway,Evening,2,120,1,1,Low,Wet,Car,41,37,Daylight,0
Rainy,Highway,Night,1,30,4,0,Low,Wet,Truck,32,19,No Light,1
Clear,Highway,Afternoon,1,30,5,1,Moderate,Dry,Car,47,22,Daylight,0
Snowy,Rural Road,Afternoon,1,80,4,0,Low,Wet,Car,39,18,Daylight,0
Snowy,Rural Road,Afternoon,1,60,4,0,Low,Under Construction,Car,29,61,Daylight,1
Foggy,City Road,Afternoon,1,100,1,0,Low,Dry,Car,67,45,Artificial Light,0
Foggy,City Road,Evening,0,80,1,0,Low,Wet,Car,18,48,Artificial Light,0
Foggy,Highway,Evening,1,60,4,0,Moderate,Dry,Car,48,26,Daylight,0
Rainy,Rural Road,Afternoon,1,30,2,0,Low,Dry,Car,53,18,Daylight,0
Rainy,Rural Road,Night,1,80,2,0,Moderate,Dry,Car,54,53,Daylight,0
Snowy,Rural Road,Night,0,50,1,1,Low,Dry,Truck,48,52,Artificial Light,0
Clear,Highway,Morning,2,50,1,0,Low,Dry,Car,25,30,Artificial Light,0
Clear,Highway,Night,1,60,2,0,Low,Dry,Car,60,47,Artificial Light,0
Clear,Mountain Road,Afternoon,0,50,3,0,Moderate,Dry,Car,27,35,Artificial Light,0
Clear,Highway,Morning,0,50,4,1,Moderate,Dry,Car,32,22,Artificial Light,0
Clear,Highway,Night,2,80,4,0,High,Under Construction,Car,57,49,Daylight,0
Rainy,Highway,Evening,0,50,4,0,Low,Wet,Car,47,31,No Light,0
Clear,Rural Road,Evening,0,80,4,0,Low,Dry,Car,53,62,Daylight,0
Rainy,City Road,Evening,2,30,4,0,Low,Under Construction,Car,24,36,Artificial Light,0
Clear,Highway,Evening,0,60,3,0,Low,Icy,Car,23,27,Artificial Light,1
Clear,Highway,Morning,0,50,2,0,Low,Icy,Car,36,46,Artificial Light,0
Clear,Highway,Afternoon,1,80,4,1,Low,Wet,Car,65,15,Daylight,1
Snowy,City Road,Evening,1,80,1,0,Low,Dry,Car,36,34,Artificial Light,0
Foggy,Highway,Afternoon,0,60,1,0,Moderate,Icy,Car,64,26,No Light,0
Clear,Highway,Evening,0,60,5,1,Low,Dry,Car,23,66,Artificial Light,0
Clear,City Road,Evening,1,60,5,0,Moderate,Under Construction,Car,54,42,Daylight,0
Clear,City Road,Evening,1,60,3,1,Low,Icy,Motorcycle,33,35,Daylight,0
Foggy,Highway,Morning,2,80,1,0,Moderate,Dry,Car,62,45,Daylight,0
Clear,Mountain Road,Afternoon,0,120,2,0,Low,Dry,Truck,66,41,Artificial Light,0
Clear,City Road,Night,2,50,3,0,Low,Wet,Car,47,27,Daylight,0
Clear,City Road,Night,1,60,1,0,Moderate,Dry,Truck,30,25,Daylight,0
Rainy,Rural Road,Evening,0,60,10,0,Low,Dry,Car,34,48,Daylight,0
Foggy,City Road,Night,2,80,4,0,Moderate,Icy,Car,48,35,Daylight,1
Clear,Highway,Evening,1,60,4,1,Low,Dry,Car,48,60,Daylight,1
Foggy,Highway,Morning,2,80,1,0,High,Icy,Car,27,53,Artificial Light,0
Foggy,City Road,Night,0,50,3,0,Low,Dry,Car,42,45,Artificial Light,0
Rainy,City Road,Evening,2,120,2,0,Low,Wet,Truck,56,33,Artificial Light,1
Rainy,Highway,Morning,0,50,1,0,Low,Dry,Car,62,47,No Light,1
Clear,City Road,Evening,1,80,5,0,Low,Dry,Car,19,43,Daylight,0
Clear,City Road,Evening,2,50,3,0,Moderate,Icy,Car,33,41,Artificial Light,0
Stormy,Highway,Afternoon,1,50,3,0,Low,Icy,Car,47,38,Artificial Light,1
Stormy,City Road,Evening,1,60,4,0,Moderate,Icy,Car,22,53,Daylight,0
Foggy,Mountain Road,Afternoon,1,60,1,1,Low,Wet,Car,41,32,Daylight,1
Clear,Highway,Morning,0,60,1,0,Moderate,Wet,Car,43,61,No Light,0
Clear,Rural Road,Afternoon,0,50,4,0,Low,Wet,Car,34,55,Artificial Light,0
Clear,City Road,Afternoon,1,60,2,0,Low,Dry,Car,45,46,Artificial Light,0
Clear,Rural Road,Evening,1,100,4,0,Low,Dry,Car,30,12,Artificial Light,0
Rainy,Highway,Night,0,100,1,1,Moderate,Dry,Car,29,53,Artificial Light,0
Rainy,Highway,Afternoon,2,60,4,0,Low,Wet,Car,28,44,Artificial Light,0
Stormy,Highway,Afternoon,1,80,2,0,Low,Dry,Car,27,10,Daylight,0
Foggy,City Road,Morning,2,50,3,0,Moderate,Dry,Car,47,29,Artificial Light,0
Rainy,Highway,Evening,1,192,4,1,Low,Wet,Truck,48,13,Artificial Light,0
Foggy,Rural Road,Evening,2,50,2,0,Low,Wet,Car,29,27,Daylight,1
Foggy,Highway,Morning,0,80,4,0,Low,Dry,Car,20,21,Artificial Light,1
Foggy,Highway,Evening,0,100,1,0,Moderate,Dry,Car,22,26,No Light,0
Snowy,Highway,Afternoon,1,60,1,0,High,Wet,Car,49,57,Artificial Light,0
Stormy,Highway,Afternoon,0,60,10,0,Low,Dry,Car,33,61,No Light,1
Clear,City Road,Afternoon,0,30,5,0,Low,Under Construction,Truck,19,40,No Light,0
Clear,City Road,Evening,0,80,1,0,Low,Dry,Car,19,44,Artificial Light,1
Rainy,Highway,Morning,0,60,13,0,Low,Wet,Truck,29,15,Daylight,1
Rainy,Highway,Evening,2,60,3,0,Moderate,Under Construction,Car,50,41,Daylight,1
Clear,City Road,Evening,1,50,1,0,High,Under Construction,Car,62,24,Daylight,1
Stormy,Highway,Afternoon,1,80,1,0,High,Icy,Car,53,34,Daylight,0
Rainy,Highway,Morning,0,50,1,0,Low,Dry,Motorcycle,66,26,Daylight,0
Clear,Highway,Morning,2,60,4,0,Moderate,Dry,Car,46,51,Daylight,0
Rainy,Highway,Afternoon,2,120,3,0,Moderate,Wet,Car,32,65,No Light,0
Rainy,Highway,Evening,0,60,5,0,Low,Wet,Car,58,21,Daylight,0
Rainy,City Road,Afternoon,0,50,5,0,Moderate,Dry,Motorcycle,26,22,Daylight,0
Foggy,Highway,Evening,2,100,2,0,Low,Under Construction,Car,65,41,Artificial Light,1
Clear,Highway,Afternoon,0,100,3,0,Low,Wet,Car,34,12,Daylight,0
Rainy,City Road,Morning,0,60,3,0,Moderate,Under Construction,Truck,59,40,Daylight,0
Rainy,City Road,Evening,0,80,2,0,High,Wet,Truck,40,52,Daylight,1
Rainy,City Road,Evening,0,100,3,1,Low,Wet,Car,24,54,Daylight,0
Clear,Mountain Road,Morning,0,100,3,1,Moderate,Wet,Car,39,37,Artificial Light,1
Clear,Highway,Evening,1,60,1,0,High,Dry,Car,59,33,Artificial Light,0
Rainy,Highway,Evening,2,120,5,0,Moderate,Wet,Car,27,40,Daylight,1
Clear,Highway,Afternoon,1,100,4,0,Moderate,Dry,Car,48,34,Artificial Light,0
Clear,City Road,Morning,1,80,4,1,Moderate,Dry,Car,50,56,Artificial Light,0
Clear,City Road,Afternoon,2,50,4,1,Low,Icy,Motorcycle,25,33,No Light,0
Snowy,Mountain Road,Morning,1,100,2,0,Low,Dry,Car,23,62,Artificial Light,0
Clear,Highway,Night,2,60,5,1,Low,Icy,Car,43,18,Artificial Light,0
Clear,Rural Road,Evening,1,60,4,0,High,Dry,Car,51,42,Artificial Light,0
Rainy,Highway,Evening,0,60,4,0,Low,Wet,Car,48,67,Daylight,0
Rainy,City Road,Afternoon,2,60,1,0,Low,Under Construction,Bus,20,26,Artificial Light,0
Stormy,Highway,Night,2,30,3,1,Low,Wet,Car,48,23,Artificial Light,1
Stormy,Highway,Morning,0,50,1,0,Low,Wet,Car,62,49,No Light,0
Clear,Highway,Evening,1,30,5,0,Low,Under Construction,Car,59,44,Artificial Light,1
Rainy,Highway,Night,0,50,1,0,Moderate,Wet,Motorcycle,29,23,Artificial Light,0
Rainy,Rural Road,Afternoon,0,100,2,0,Moderate,Wet,Truck,26,61,Artificial Light,1
Rainy,City Road,Afternoon,0,100,5,0,Moderate,Dry,Car,58,27,Daylight,0
Clear,Highway,Morning,1,60,5,0,Low,Icy,Truck,69,67,No Light,1
Snowy,Mountain Road,Afternoon,0,60,4,0,Low,Dry,Car,40,60,Artificial Light,1
Stormy,Mountain Road,Morning,0,60,1,0,Low,Dry,Car,43,57,Daylight,1
Rainy,City Road,Afternoon,0,50,2,0,Moderate,Wet,Car,45,31,Daylight,0
Rainy,Rural Road,Afternoon,0,60,2,0,Low,Wet,Car,32,62,No Light,1
Rainy,Highway,Evening,1,60,1,0,Low,Wet,Car,48,38,Daylight,0
Clear,City Road,Evening,2,80,4,0,Low,Icy,Car,19,34,Daylight,1
Foggy,Highway,Evening,0,80,2,0,High,Dry,Car,52,16,Artificial Light,1
Rainy,Highway,Evening,1,120,3,0,Low,Dry,Car,54,17,Daylight,0
Clear,City Road,Night,2,120,4,0,Moderate,Dry,Car,54,29,Artificial Light,1
Clear,Highway,Morning,1,60,2,0,High,Dry,Car,67,38,Artificial Light,1
Foggy,Highway,Evening,1,50,2,0,Moderate,Dry,Car,53,33,Daylight,0
Snowy,Highway,Evening,1,80,3,0,Low,Wet,Car,25,41,Daylight,1
Clear,Highway,Afternoon,2,100,2,1,Low,Under Construction,Car,61,42,Daylight,1
Clear,City Road,Evening,1,60,3,0,Moderate,Dry,Car,34,53,Artificial Light,0
Clear,City Road,Evening,2,80,4,0,Low,Dry,Car,64,39,Artificial Light,0
Clear,City Road,Morning,0,60,3,0,Low,Under Construction,Car,52,18,Daylight,1
Foggy,City Road,Morning,2,60,1,0,Low,Dry,Car,56,14,Daylight,1
Foggy,City Road,Evening,1,50,3,0,Low,Dry,Car,36,30,Daylight,0
Clear,Highway,Morning,2,60,5,0,Low,Dry,Car,30,24,Daylight,0
Clear,City Road,Afternoon,2,60,4,0,Low,Wet,Car,68,34,Daylight,0
Rainy,City Road,Evening,1,50,1,0,Moderate,Dry,Car,44,35,Artificial Light,0
Clear,Highway,Evening,2,80,3,0,Moderate,Wet,Truck,67,19,Artificial Light,0
Rainy,Highway,Evening,1,80,4,0,Low,Wet,Car,43,22,Artificial Light,0
Stormy,City Road,Evening,0,50,3,0,Moderate,Icy,Car,44,38,Daylight,0
Rainy,City Road,Evening,1,30,5,0,Low,Icy,Car,36,10,Daylight,0
Rainy,City Road,Afternoon,0,80,5,0,High,Dry,Car,49,45,Artificial Light,0
Foggy,City Road,Evening,1,100,1,0,Low,Dry,Car,41,39,Daylight,0
Snowy,Highway,Morning,1,120,3,0,Low,Dry,Car,44,32,Artificial Light,0
Rainy,City Road,Evening,0,60,5,0,Low,Wet,Car,42,66,Artificial Light,0
